Date,ClosePrice,A,B,C,D,E,F,G
20130627,25.99,1.19915 ,-3.86428 ,0.69017 ,-1.56121 ,0.74417 ,-0.13040 ,-0.33008 
20130628,25.82,1.28384 ,-4.80120 ,0.95143 ,-0.38674 ,0.41271 ,-1.00995 ,-0.14596 
20130701,25.76,1.42800 ,-3.46985 ,0.97166 ,-1.84515 ,0.51266 ,0.62888 ,-0.55650 
20130702,25.56,1.29558 ,-2.64548 ,1.33807 ,-2.13318 ,0.84030 ,-0.02792 ,-0.03540 
20130703,25.58,1.15461 ,-0.68346 ,1.86315 ,-3.52025 ,0.81226 ,0.20857 ,-0.49267 
20130704,25.62,0.90724 ,0.23424 ,2.30975 ,-3.46167 ,0.89459 ,-1.11357 ,0.13621 
20130705,26.09,0.79994 ,0.26138 ,1.96512 ,-2.55637 ,0.97467 ,-2.10686 ,-0.05411 
20130708,26.48,0.76221 ,-2.95255 ,-10.42965 ,-1.76935 ,3.08427 ,-4.73670 ,-0.18211 
20130709,26.48,1.75804 ,-5.47549 ,-2.71000 ,0.48694 ,-1.44974 ,-3.45663 ,-0.89244 
20130710,26.19,2.55838 ,-5.53071 ,0.32387 ,0.30023 ,-2.68396 ,-1.53967 ,-1.49920 
20130711,26.08,2.71431 ,-3.62622 ,0.74612 ,-1.27757 ,-1.70650 ,0.81751 ,-1.97921 
20130712,27.9,2.45080 ,-2.06872 ,1.88486 ,-2.04318 ,-1.29251 ,0.61318 ,-0.77508 
20130715,26.48,3.04785 ,-9.12152 ,-5.90701 ,3.71418 ,-0.07481 ,-7.37712 ,2.71835 
20130716,26.64,4.82791 ,-2.50390 ,-3.70108 ,-5.08226 ,-1.20625 ,2.85804 ,-1.38410 
20130717,26.24,3.83563 ,-2.50484 ,-1.06336 ,-2.40941 ,-1.74079 ,-0.25972 ,-0.11246 
20130718,26.41,3.69266 ,-0.27777 ,0.81274 ,-3.45736 ,-1.90189 ,1.05896 ,-0.41576 
20130719,26.57,3.34488 ,0.63905 ,1.84351 ,-3.41001 ,-1.44243 ,-1.13443 ,1.19825 
20130722,26.16,3.40588 ,-0.71514 ,0.57628 ,-1.28764 ,-1.16040 ,-2.19491 ,-0.09715 
20130723,26.27,3.44820 ,1.93639 ,0.98192 ,-3.75888 ,-1.18895 ,0.00542 ,-0.67844 
20130724,26.22,3.00158 ,1.28203 ,0.15583 ,-1.69770 ,-0.55297 ,-1.56104 ,-0.57999 
20130725,26.16,2.96924 ,2.21738 ,0.79021 ,-1.56183 ,-0.50112 ,-1.66289 ,-1.01973 
20130726,26.14,2.77851 ,3.59228 ,0.42022 ,-2.03702 ,-0.34801 ,-1.83502 ,-1.14019 
20130729,25.99,2.65232 ,3.16856 ,2.14794 ,-0.70391 ,-1.37342 ,-1.57105 ,-1.42166 
20130730,26.22,2.45986 ,4.48308 ,0.67956 ,-1.69722 ,-0.51462 ,-1.38418 ,-1.31996 
20130731,26.22,2.26905 ,2.49619 ,0.71180 ,1.13066 ,-0.74865 ,-3.06889 ,-0.86040 
20130801,26.22,2.49418 ,2.30576 ,1.60915 ,1.82471 ,-1.28775 ,-1.75046 ,-2.05261 
20130802,26.14,2.54583 ,2.41143 ,1.37738 ,1.80645 ,-1.03011 ,-0.46720 ,-2.48056 
20130805,25.82,2.50486 ,2.20286 ,-1.48809 ,1.11264 ,0.38703 ,0.38285 ,-3.02192 
20130806,25.79,2.20293 ,4.39536 ,-0.01835 ,-0.74607 ,-0.09494 ,0.84387 ,-1.49513 
20130807,25.64,1.73739 ,4.79285 ,0.93251 ,-0.33969 ,-0.58000 ,-0.17821 ,-1.10256 
20130808,25.62,1.43439 ,5.75939 ,1.91319 ,-0.37225 ,-0.90987 ,-0.56135 ,-0.80728 
20130809,25.46,1.16198 ,6.13695 ,0.84264 ,-0.51699 ,-0.23892 ,-0.83850 ,-1.06971 
20130812,25.36,0.84886 ,6.80202 ,0.95559 ,-0.39120 ,-0.22179 ,-1.46322 ,-1.20816 
20130813,25.39,0.44828 ,7.33983 ,0.13590 ,-0.27550 ,0.19250 ,-1.66042 ,-1.11383 
20130814,25.27,0.21406 ,7.16123 ,1.46348 ,0.53925 ,-0.56871 ,-1.64374 ,-0.99371 
20130815,24.99,-0.01278 ,7.43875 ,0.06273 ,0.36670 ,0.19457 ,-1.52047 ,-1.42260 
20130816,25.31,-0.60245 ,8.04374 ,-7.10285 ,-1.32015 ,2.21788 ,-1.05856 ,-1.97078 
20130819,25.31,-0.88788 ,5.96276 ,-3.00863 ,1.49667 ,-1.09547 ,-2.80276 ,-0.28298 
20130820,25.56,-0.53125 ,5.12335 ,-0.12242 ,1.45831 ,-2.40991 ,-0.59883 ,-1.23254 
20130822,25.7,-0.50931 ,3.36822 ,-0.55446 ,3.74151 ,-1.92941 ,-1.43223 ,-0.73320 
20130823,25.1,0.00119 ,1.32387 ,0.10796 ,4.27062 ,-2.04012 ,0.00438 ,-1.69213 
20130826,25.26,-0.13961 ,4.34777 ,-3.19925 ,-0.04211 ,-0.52153 ,2.75217 ,-2.22117 
20130827,25.36,-0.69889 ,3.52047 ,0.45171 ,1.68924 ,-2.12872 ,0.70531 ,-0.20356 
20130828,25.53,-0.58684 ,2.77223 ,-1.92703 ,1.35722 ,-1.01265 ,0.67502 ,-0.20986 
20130829,25.84,-0.43443 ,1.19596 ,-1.19850 ,2.49893 ,-1.20307 ,-0.20431 ,0.52651 
20130830,25.9,0.07505 ,-1.60385 ,-0.08624 ,4.11255 ,-2.06647 ,0.11267 ,-0.18239 
20130902,25.99,0.69525 ,-1.82707 ,0.68434 ,3.41003 ,-1.86620 ,0.91442 ,-0.40837 
20130903,26.1,1.05959 ,-2.43374 ,0.77577 ,3.22448 ,-1.47280 ,1.34024 ,-0.37061 
20130904,25.99,1.43222 ,-2.86623 ,0.51950 ,2.86280 ,-0.60759 ,1.62474 ,-0.29762 
20130905,26.13,1.70394 ,-2.48805 ,1.37025 ,1.41872 ,-0.51753 ,2.92660 ,0.08388 
20130906,26.08,1.75288 ,-3.40300 ,0.89303 ,1.97655 ,0.10692 ,1.37986 ,1.18753 
20130909,25.98,2.02155 ,-2.85248 ,1.78872 ,1.12082 ,0.11667 ,1.89968 ,1.00714 
20130910,26.08,2.05066 ,-1.91355 ,2.35269 ,-0.05136 ,0.29603 ,1.77168 ,1.43791 
20130911,25.99,2.06435 ,-1.73694 ,1.32394 ,-0.01775 ,1.21463 ,1.02282 ,1.21750 
20130912,25.97,2.12688 ,-0.85275 ,-0.19810 ,-1.54274 ,2.29255 ,0.74077 ,1.15863 
20130913,25.89,2.06838 ,-0.47588 ,-0.57145 ,-1.94239 ,2.32907 ,0.07047 ,1.01945 
20130914,25.72,1.89428 ,-0.17372 ,1.15156 ,-1.33695 ,1.08642 ,-0.36457 ,1.21878 
20130916,25.68,1.71153 ,1.45540 ,2.29812 ,-2.15065 ,0.86166 ,-0.39112 ,1.48346 
20130917,25.8,1.39884 ,2.33858 ,1.28187 ,-1.79360 ,1.45031 ,-1.42558 ,1.17670 
20130918,26.17,1.27142 ,1.73674 ,1.55597 ,-0.57311 ,1.09469 ,-2.25848 ,1.04468 
20130923,26.26,1.54856 ,-1.02393 ,1.04965 ,1.62127 ,0.81580 ,-2.74937 ,0.72766 
20130924,26.16,2.15220 ,-2.38280 ,-2.64742 ,1.28208 ,2.30074 ,-1.25466 ,-1.16697 
20130925,26.12,2.40735 ,-2.01030 ,1.41377 ,1.00186 ,0.18669 ,0.45086 ,-0.88603 
20130926,26.12,2.41804 ,-1.72205 ,1.17115 ,0.55372 ,0.49437 ,0.69472 ,-0.65625 
20130927,26.12,2.42333 ,-1.23251 ,2.23061 ,0.09853 ,0.59126 ,0.52584 ,0.30398 
20130930,26.12,2.49071 ,-1.10580 ,1.49384 ,-0.66449 ,1.21572 ,0.58743 ,0.90869 
20131001,26.34,2.48663 ,-1.03636 ,0.20512 ,-0.89539 ,1.96615 ,0.05883 ,0.99964 
20131002,26.47,2.60394 ,-2.78367 ,-0.65180 ,0.60762 ,1.97580 ,-0.95380 ,1.40492 
20131003,26.52,3.06253 ,-3.90484 ,-0.26065 ,0.76459 ,1.55781 ,-0.18204 ,-0.00836 
20131004,26.63,3.33169 ,-4.10178 ,-1.32318 ,0.38193 ,1.78974 ,0.18444 ,-0.02508 
20131007,26.4,3.58134 ,-5.29201 ,-1.47481 ,0.69386 ,1.46142 ,0.76946 ,0.07230 
20131008,26.36,3.73995 ,-3.06110 ,-2.63528 ,-2.22812 ,1.62704 ,2.29321 ,-0.06479 
20131009,26.37,3.49372 ,-1.80951 ,2.30085 ,-1.63154 ,-0.14128 ,1.12220 ,1.30699 
20131011,26.56,3.34455 ,-1.05451 ,0.94856 ,-1.47718 ,0.74768 ,0.35910 ,1.86651 
20131014,26.4,3.52507 ,-1.53902 ,-0.08833 ,-1.00612 ,1.45305 ,-1.12925 ,1.63055 
20131015,26.32,3.71483 ,-0.76934 ,1.99858 ,-1.36617 ,0.11713 ,0.38249 ,0.39079 
20131016,26.38,3.53729 ,0.70599 ,1.86937 ,-1.94413 ,0.54937 ,-0.25359 ,0.09355 
20131017,26.48,3.42535 ,0.86942 ,1.00208 ,-1.36265 ,1.00765 ,-0.97961 ,0.27864 
20131018,26.19,3.43922 ,0.52307 ,1.65100 ,-0.40975 ,0.75738 ,-2.01832 ,0.76075 
20131021,26.48,3.43796 ,2.22584 ,-2.89518 ,-2.85881 ,2.32213 ,-0.26371 ,-1.09599 
20131022,26.47,3.28242 ,0.77810 ,1.82058 ,0.28121 ,-0.25835 ,-1.63720 ,0.20272 
20131023,26.41,3.49262 ,0.45466 ,1.69539 ,0.43951 ,-0.12137 ,-1.23318 ,-0.43425 
20131024,26.72,3.48343 ,1.17588 ,-3.02747 ,-0.69538 ,2.15629 ,-1.12141 ,-1.21972 
20131025,26.6,3.53120 ,-1.61958 ,-3.28788 ,1.77045 ,0.87973 ,-1.82754 ,-0.85254 
20131028,26.54,3.94993 ,-1.16531 ,-2.54729 ,0.01356 ,-0.00382 ,-0.02518 ,-1.20903 
20131029,26.63,3.94008 ,-0.47413 ,0.81841 ,-0.22624 ,-1.13448 ,0.65956 ,-0.57042 
20131030,26.34,3.86741 ,-1.18630 ,-0.71522 ,0.43719 ,-0.32383 ,-0.11427 ,-0.23351 
20131031,25.89,3.79269 ,1.15110 ,0.58740 ,-1.30423 ,-0.47854 ,0.72846 ,0.16976 
20131101,26.07,3.03557 ,3.44165 ,-1.80130 ,-2.88212 ,0.17122 ,0.95980 ,0.39206 
20131104,26.22,2.53905 ,2.88723 ,1.81402 ,-0.92971 ,-1.31465 ,-0.47204 ,1.13163 
20131105,26.34,2.53924 ,1.74561 ,-0.61550 ,-0.31055 ,-0.41418 ,-1.34307 ,0.91214 
20131106,26.29,2.83238 ,0.74324 ,-1.15828 ,0.59266 ,-0.06595 ,-1.39167 ,-0.17823 
20131107,26.51,2.99081 ,0.48902 ,1.25736 ,1.04715 ,-1.59761 ,-0.02441 ,-1.13378 
20131108,26.35,3.07736 ,-1.05556 ,0.02783 ,2.24413 ,-1.00528 ,-0.77655 ,-0.72077 
20131111,26.46,3.33546 ,0.17083 ,-0.68767 ,0.38722 ,-0.30745 ,0.91015 ,-1.16576 
20131112,26.34,3.31564 ,-0.33023 ,1.09962 ,1.20350 ,-0.87506 ,0.40829 ,-0.09034 
20131113,26.35,3.42535 ,0.22876 ,0.77957 ,0.06516 ,-0.36586 ,1.48660 ,-0.35666 
20131114,26.45,3.36272 ,0.76178 ,1.11919 ,-0.22338 ,0.02729 ,0.52706 ,0.52975 
20131115,26.45,3.36601 ,-0.21468 ,-1.19309 ,0.32393 ,0.94735 ,-0.40914 ,0.32572 
20131118,26.52,3.51335 ,0.12185 ,1.80731 ,0.23496 ,-0.42766 ,-0.58490 ,0.80637 
20131119,26.43,3.63116 ,-0.65553 ,-0.61562 ,0.24270 ,0.61566 ,-0.00292 ,-0.16880 
20131120,26.47,3.74229 ,-0.05128 ,0.07066 ,-0.71088 ,0.50224 ,0.78311 ,-0.28485 
20131121,26.78,3.72182 ,-0.21571 ,-0.31199 ,-0.81407 ,0.62747 ,-0.14012 ,0.21354 
20131122,26.78,3.88087 ,-2.41291 ,-1.21678 ,1.13227 ,0.61082 ,-1.52168 ,0.56505 
20131125,26.74,4.35096 ,-2.94344 ,-0.97614 ,0.65145 ,0.18534 ,-0.09306 ,-0.20089 
20131126,26.59,4.37055 ,-3.05809 ,-1.94049 ,0.38720 ,0.29195 ,0.22947 ,-0.07960 
20131127,26.77,4.44622 ,-1.56131 ,1.15343 ,-0.77010 ,-0.72380 ,1.49385 ,-0.28877 
20131128,26.86,4.30687 ,-2.32427 ,-0.19412 ,0.02103 ,0.06379 ,-0.50880 ,1.57092 
20131129,26.79,4.59422 ,-3.46319 ,-0.09594 ,0.47583 ,0.08118 ,-0.12193 ,1.05419 
20131202,26.61,4.81151 ,-2.63851 ,-0.57295 ,-1.05856 ,0.23887 ,1.07559 ,0.44555 
20131203,26.65,4.69366 ,-1.08173 ,0.57727 ,-1.95786 ,-0.05305 ,1.58614 ,0.18778 
20131204,26.65,4.46466 ,-0.40157 ,0.53182 ,-1.76762 ,0.17333 ,-0.20776 ,1.19021 
20131205,26.64,4.48121 ,0.08158 ,2.43879 ,-1.62745 ,-0.25408 ,-0.85789 ,1.51433 
20131206,26.61,4.47925 ,0.53509 ,0.71339 ,-1.92208 ,0.60655 ,-1.00411 ,0.87552 
20131209,26.57,4.42130 ,0.45622 ,0.54708 ,-1.49694 ,0.52695 ,-0.83713 ,-0.21820 
20131210,26.89,4.38623 ,1.66074 ,2.45206 ,-1.70096 ,-0.14028 ,-1.82355 ,0.40205 
20131211,26.73,4.38200 ,-0.51784 ,-0.49811 ,0.60319 ,1.04654 ,-3.71381 ,0.80951 
